2.493327502849035024e-03 2.493327502849035024e-03 2.493327502849035024e-03 6.658253257464664459e+09 4.433233644053881651e+19 5.266321518074138165e+08 2.773414233173069440e+17 -6.655479054421433449e+09 4.429540144384241664e+19
5.817764173314414478e-03 2.493327502849035024e-03 2.493327502849035024e-03 -4.751059925233049393e+09 2.257257041315546726e+19 1.493616423352274895e+09 2.230890020107642112e+18 -1.436226134684286690e+10 2.062745509950166794e+20
5.817764173314414478e-03 5.817764173314414478e-03 2.493327502849035024e-03 5.660809235740723610e+08 3.204476120344747520e+17 -7.045734994204596519e+09 4.964238160855924736e+19 2.505114861628370285e+10 6.275600469951329075e+20
5.817764173314414478e-03 5.817764173314414478e-03 5.817764173314414478e-03 -1.398704801929732800e+09 1.956375122941293056e+18 -1.437091889051452827e+10 2.065233097577473311e+20 -1.857866015456145859e+10 3.451666131386896220e+20
9.142200843779793931e-03 2.493327502849035024e-03 2.493327502849035024e-03 -3.337369446730581665e+10 1.113803482397078847e+21 -1.464949900150264740e+10 2.146078209950270751e+20 7.073730093609495544e+10 5.003765743723660444e+21
9.142200843779793931e-03 5.817764173314414478e-03 2.493327502849035024e-03 -3.361834463970191479e+08 1.130193096313774400e+17 -9.460332584221433640e+09 8.949789260408178278e+19 -2.461001634083465576e+10 6.056529042961487626e+20
9.142200843779793931e-03 5.817764173314414478e-03 5.817764173314414478e-03 1.377890071212269974e+10 1.898581048345354568e+20 3.487417914146668243e+10 1.216208370791109886e+21 3.728889607500495148e+10 1.390461770492519645e+21
9.142200843779793931e-03 9.142200843779793931e-03 2.493327502849035024e-03 -6.236389712598017693e+09 3.889255664739838362e+19 -5.924448007641117096e+09 3.509908419524280320e+19 -1.641162793426513100e+10 2.693415314527515771e+20
9.142200843779793931e-03 9.142200843779793931e-03 5.817764173314414478e-03 9.429017537650531769e+09 8.890637172532128973e+19 3.090437746954576492e+10 9.550805467801679299e+20 6.175118192775719643e+09 3.813208469474966733e+19
9.142200843779793931e-03 9.142200843779793931e-03 9.142200843779793931e-03 2.825873190196553707e+09 7.985559287071647744e+18 9.294316795558099747e+08 8.638432469619338240e+17 -3.421974734582346082e+08 1.170991108411991840e+17
1.246663751424517512e-02 5.817764173314414478e-03 2.493327502849035024e-03 1.711561511935540199e+10 2.929442809139072205e+20 4.164129783441429901e+10 1.733997685334396895e+21 8.478213513266668701e+10 7.188010437653755331e+21
1.246663751424517512e-02 5.817764173314414478e-03 5.817764173314414478e-03 -1.853173519415993452e+09 3.434252093064659456e+18 -2.217148035637902451e+10 4.915745411933009347e+20 -2.763989615671148682e+10 7.639638595537943921e+20
1.246663751424517512e-02 9.142200843779793931e-03 2.493327502849035024e-03 -9.696187943611861467e+08 9.401606063784401920e+17 1.006164769751627922e+10 1.012367543889346396e+20 1.368164497975642014e+10 1.871874093520940564e+20
1.246663751424517512e-02 9.142200843779793931e-03 5.817764173314414478e-03 1.703949588775634766e+04 2.903444201088654995e+08 -1.368230356181529045e+10 1.872054307576633754e+20 -1.303708814261631584e+10 1.699656672383469486e+20
1.246663751424517512e-02 9.142200843779793931e-03 9.142200843779793931e-03 2.943526819584961891e+09 8.664350137615961088e+18 2.104475337346817255e+09 4.428816445501000192e+18 2.246561190077195358e+10 5.047037180761064079e+20
1.246663751424517512e-02 1.246663751424517512e-02 2.493327502849035024e-03 3.457156758328615665e+09 1.195193285165722214e+19 -6.261759975949780464e+09 3.920963799640659558e+19 -1.254403250823462963e+09 1.573527515676471808e+18
1.246663751424517512e-02 1.246663751424517512e-02 5.817764173314414478e-03 2.627776648786221981e+09 6.905210115906147328e+18 -3.006579827139246941e+09 9.039522256960663552e+18 9.896023378035350800e+09 9.793127869862218957e+19
1.246663751424517512e-02 1.246663751424517512e-02 9.142200843779793931e-03 2.409985566459397674e+08 5.808030430542624000e+16 7.801275744981847763e+09 6.085990324924208742e+19 -8.425217338842834473e+09 7.098428720673793638e+19
1.246663751424517512e-02 1.246663751424517512e-02 1.246663751424517512e-02 -6.167540753775740862e+08 3.803855894948463360e+17 8.652930130760849714e+08 7.487319984782897920e+17 7.058638732791273117e+09 4.982438076006119014e+19
1.579107418471055457e-02 5.817764173314414478e-03 5.817764173314414478e-03 1.491678857969930115e+11 2.225105815314475096e+22 5.451420370899746094e+11 2.971798406026072676e+23 -2.063516541355420837e+11 4.258100516447437875e+22
1.579107418471055457e-02 9.142200843779793931e-03 2.493327502849035024e-03 -2.414052849878771210e+10 5.827651162007816765e+20 -3.803888287801640320e+10 1.446956610607449375e+21 -2.183079051261279106e+09 4.765834144055846912e+18
1.579107418471055457e-02 9.142200843779793931e-03 5.817764173314414478e-03 2.808263903633955002e+09 7.886346152453419008e+18 1.000387635671818733e+10 1.000775421605051597e+20 -1.443150572934952736e+10 2.082683576162482258e+20
